t_ms,phase,flight_state,alt_mm,pos_x,pos_y,pos_z,dn_escape,dn_forward,dn_backward,dn_turn_L,dn_turn_R,dn_groom,dn_feed,total_spikes,pam,ppl1,mbon_approach,mbon_avoidance,mbon_suppress,serotonin,octopamine,gaba,ach,glut,wing_freq
0.0,hunger,GROUNDED,1.78,0.05,-0.00,1.12,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,0,0,0,0,2,0,0
15.0,hunger,GROUNDED,1.12,0.19,-0.03,1.16,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,0,0,0,1,2,0,0
30.0,hunger,GROUNDED,1.16,0.21,-0.03,1.12,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0,0,0,1,0,0,0
45.0,hunger,GROUNDED,1.12,0.26,0.03,1.12,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0,0,0,0,0,0,0,0,1,0,0
60.0,hunger,GROUNDED,1.12,0.33,0.07,1.06,0.0000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,7,0,0,0,0,0,0,0,2,5,0,0
75.0,hunger,GROUNDED,1.06,0.53,0.17,0.94,0.0000,0.2250,0.0000,0.0500,0.0000,0.0000,0.0000,16,0,0,0,0,0,0,0,7,9,0,0
90.0,hunger,GROUNDED,0.94,0.76,0.32,0.90,0.0000,0.2750,0.0000,0.0500,0.0000,0.0000,0.0000,2,0,0,0,0,0,0,0,0,2,0,0
105.0,hunger,GROUNDED,0.90,0.89,0.28,0.98,0.0000,0.2000,0.0000,0.0500,0.0000,0.0000,0.0000,7,0,0,0,0,0,0,0,2,5,0,0
120.0,hunger,GROUNDED,0.98,0.96,0.30,1.01,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,6,0,0,0,0,0,0,0,1,5,0,0
135.0,hunger,GROUNDED,1.01,1.07,0.27,0.95,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,3,0,0,0,0,0,0,0,1,2,0,0
150.0,hunger,GROUNDED,0.95,1.29,0.10,0.88,0.0000,0.1500,0.0000,0.0500,0.0000,0.0000,0.0000,3,0,0,0,0,0,0,0,2,1,0,0
165.0,hunger,GROUNDED,0.88,1.44,0.13,0.94,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,4,0,0,0,0,0,0,0,2,2,0,0
180.0,hunger,GROUNDED,0.94,1.46,0.21,0.98,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,0,0,0,1,1,0,0
195.0,hunger,GROUNDED,0.98,1.55,0.27,0.89,0.0000,0.1750,0.0000,0.0000,0.0000,0.0000,0.0000,4,0,0,0,0,0,0,0,1,3,0,0
210.0,hunger,GROUNDED,0.89,1.99,0.64,0.96,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,7,0,0,0,0,0,0,0,4,3,0,0
225.0,hunger,GROUNDED,0.96,2.13,0.59,0.99,0.0000,0.1750,0.0000,0.0500,0.0000,0.0000,0.0000,10,0,0,0,0,0,0,0,3,7,0,0
240.0,hunger,GROUNDED,0.99,2.23,0.60,1.03,0.0000,0.2000,0.0000,0.0500,0.0000,0.0000,0.0000,6,0,0,0,0,0,0,0,3,3,0,0
255.0,hunger,GROUNDED,1.03,2.35,0.55,0.93,0.0000,0.2000,0.0000,0.0500,0.0000,0.0000,0.0000,4,0,0,0,0,0,0,0,2,2,0,0
