t_ms,phase,flight_state,alt_mm,pos_x,pos_y,pos_z,dn_escape,dn_forward,dn_backward,dn_turn_L,dn_turn_R,dn_groom,dn_feed,drive_L,drive_R,total_spikes,pam,ppl1,mbon_approach,mbon_avoidance,mbon_suppress,serotonin,octopamine,gaba,ach,glut,wing_freq
15.000000000000002,hunger,GROUNDED,0.98,0.10,0.01,0.98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
30.000000000000004,hunger,GROUNDED,1.06,0.08,0.02,1.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
45.00000000000001,hunger,GROUNDED,1.08,0.08,0.03,1.07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0
60.00000000000001,hunger,GROUNDED,1.07,0.09,0.02,1.07,0.0000,0.2049,0.0000,0.0000,0.0000,0.0000,0.0000,0.2049,0.2049,1,0,0,0,0,0,0,0,0,1,0,0
75.0,hunger,GROUNDED,1.06,0.08,0.03,1.06,0.0000,0.1645,0.0000,0.0000,0.0000,0.0000,0.0000,0.1645,0.1645,0,0,0,0,0,0,0,0,0,0,0,0
90.00000000000001,hunger,GROUNDED,1.06,0.09,0.02,1.06,0.0000,0.1374,0.0000,0.0000,0.0000,0.0000,0.0000,0.1374,0.1374,0,0,0,0,0,0,0,0,0,0,0,0
105.00000000000001,hunger,GROUNDED,1.07,0.10,0.01,1.07,0.0000,0.1179,0.0000,0.0000,0.0000,0.0000,0.0000,0.1179,0.1179,0,0,0,0,0,0,0,0,0,0,0,0
120.00000000000001,hunger,GROUNDED,1.06,0.13,0.03,1.06,0.0000,0.2066,0.0000,0.0000,0.0000,0.0000,0.0000,0.2066,0.2066,1,0,0,0,0,0,0,0,0,1,0,0
135.0,hunger,GROUNDED,1.05,0.14,0.02,1.05,0.0000,0.1838,0.0000,0.0000,0.0000,0.0000,0.0000,0.1838,0.1838,0,0,0,0,0,0,0,0,0,0,0,0
150.0,hunger,GROUNDED,1.03,0.16,0.01,1.03,0.0000,0.1656,0.0000,0.0000,0.0000,0.0000,0.0000,0.1656,0.1656,0,0,0,0,0,0,0,0,0,0,0,0
165.0,hunger,GROUNDED,1.04,0.17,0.03,1.04,0.0000,0.2259,0.0000,0.0000,0.0000,0.0000,0.0000,0.2259,0.2259,1,0,0,0,0,0,0,0,0,1,0,0
180.00000000000003,hunger,GROUNDED,1.05,0.20,0.00,1.05,0.0000,0.2072,0.0000,0.0000,0.0000,0.0000,0.0000,0.2072,0.2072,0,0,0,0,0,0,0,0,0,0,0,0
195.0,hunger,GROUNDED,1.04,0.23,0.01,1.04,0.0000,0.1913,0.0000,0.0000,0.0000,0.0000,0.0000,0.1913,0.1913,0,0,0,0,0,0,0,0,0,0,0,0
210.00000000000003,hunger,GROUNDED,1.04,0.26,0.04,1.04,0.0000,0.1777,0.0000,0.0000,0.0000,0.0000,0.0000,0.1777,0.1777,0,0,0,0,0,0,0,0,0,0,0,0
225.0,hunger,GROUNDED,1.02,0.27,0.02,1.02,0.0000,0.1659,0.0000,0.0000,0.0000,0.0000,0.0000,0.1659,0.1659,0,0,0,0,0,0,0,0,0,0,0,0
240.00000000000003,hunger,GROUNDED,1.00,0.30,0.02,1.00,0.0000,0.1556,0.0000,0.0000,0.0000,0.0000,0.0000,0.1556,0.1556,0,0,0,0,0,0,0,0,0,0,0,0
255.0,hunger,GROUNDED,1.01,0.33,0.02,1.01,0.0000,0.1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.1465,0.1465,0,0,0,0,0,0,0,0,0,0,0,0
270.0,hunger,GROUNDED,1.03,0.35,0.01,1.03,0.0000,0.1845,0.0000,0.0000,0.0000,0.0000,0.0000,0.1845,0.1845,1,0,0,0,0,0,0,0,0,1,0,0
285.00000000000006,hunger,GROUNDED,1.02,0.38,0.01,1.02,0.0000,0.1748,0.0000,0.0000,0.0000,0.0000,0.0000,0.1748,0.1748,0,0,0,0,0,0,0,0,0,0,0,0
300.0,looming,GROUNDED,1.02,0.41,0.02,1.02,0.0000,0.1661,0.0000,0.0000,0.0000,0.0000,0.0000,0.1661,0.1661,0,0,0,0,0,0,0,0,0,0,0,0
315.0,looming,GROUNDED,1.01,0.41,0.02,1.01,0.0000,0.1582,0.0000,0.0000,0.0000,0.0000,0.0000,0.1582,0.1582,1,0,0,0,0,0,0,0,1,0,0,0
330.0,looming,GROUNDED,1.01,0.43,0.03,1.01,0.0000,0.1511,0.0000,0.0000,0.0000,0.0000,0.0000,0.1511,0.1511,0,0,0,0,0,0,0,0,0,0,0,0
345.00000000000006,looming,GROUNDED,1.02,0.48,0.02,1.02,0.0000,0.1806,0.0000,0.0000,0.0000,0.0000,0.0000,0.1806,0.1806,6,0,0,0,0,0,0,0,0,6,0,0
360.00000000000006,looming,GROUNDED,1.03,0.48,-0.01,1.03,0.0000,0.1731,0.0000,0.0000,0.0000,0.0000,0.0000,0.1731,0.1731,20,0,0,0,0,0,0,0,0,20,0,0
375.0,looming,GROUNDED,1.03,0.52,0.02,1.03,0.0000,0.1662,0.0000,0.0000,0.0000,0.0000,0.0000,0.1662,0.1662,20,0,0,0,0,0,0,0,2,18,0,0
390.0,looming,GROUNDED,1.02,0.55,0.01,1.02,0.0000,0.1598,0.0000,0.0000,0.0000,0.0000,0.0000,0.1598,0.1598,18,0,0,0,0,0,0,0,0,18,0,0
405.0,looming,GROUNDED,1.00,0.56,0.01,1.00,0.0000,0.1539,0.0000,0.0000,0.0000,0.0000,0.0000,0.1539,0.1539,20,0,0,0,0,0,0,0,3,17,0,0
420.00000000000006,looming,TAKEOFF,1.85,1.58,-0.01,1.86,0.0594,0.1485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17,0,0,0,0,0,0,0,1,15,1,250
435.0,looming,TAKEOFF,2.55,2.90,-0.02,2.55,0.0573,0.1433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34,0,0,0,0,0,0,0,6,26,2,250
450.0,looming,FLYING,3.16,4.33,-0.04,3.17,0.1109,0.1386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23,0,0,0,0,0,0,0,3,20,0,200
465.0,looming,FLYING,3.62,5.74,-0.05,3.62,0.1073,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20,0,0,0,0,0,0,0,4,16,0,200
480.00000000000006,looming,FLYING,4.01,7.18,-0.07,4.01,0.1040,0.1299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21,0,0,0,0,0,0,0,1,20,0,200
495.00000000000006,looming,FLYING,4.35,8.64,-0.09,4.36,0.1008,0.1260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29,0,0,0,0,0,0,0,5,21,3,200
510.0,looming,FLYING,4.66,10.11,-0.11,4.66,0.1500,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35,0,0,0,0,0,0,0,5,25,5,200
525.0,looming,FLYING,4.93,11.58,-0.12,4.93,0.1500,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27,0,0,0,0,0,0,0,2,23,2,200
540.0,looming,FLYING,5.16,13.05,-0.14,5.16,0.2000,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36,0,0,0,0,0,0,0,6,29,1,200
555.0,looming,FLYING,5.37,14.53,-0.16,5.37,0.2000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35,0,0,0,0,0,0,0,6,29,0,200
570.0000000000001,looming,FLYING,5.56,16.00,-0.18,5.56,0.2000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26,0,0,0,0,0,0,0,6,16,4,200
585.0000000000001,looming,FLYING,5.72,17.46,-0.20,5.72,0.2000,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,46,0,0,0,0,0,0,0,9,32,4,200
600.0,free,FLYING,5.86,18.94,-0.22,5.86,0.2500,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,34,0,0,0,0,0,0,0,5,26,3,200
615.0,free,FLYING,5.99,20.42,-0.24,5.99,0.2500,0.1000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,26,0,0,0,0,0,0,0,1,22,3,200
630.0,free,FLYING,6.10,21.90,-0.25,6.10,0.3000,0.0750,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,31,0,0,0,0,0,0,0,7,22,2,200
645.0,free,FLYING,6.20,23.40,-0.27,6.20,0.3000,0.0750,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,32,0,0,0,0,0,0,0,8,20,4,200
660.0,free,FLYING,6.29,24.90,-0.29,6.29,0.3000,0.0750,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,23,0,0,0,0,0,0,0,5,13,5,200
675.0,free,FLYING,6.36,26.40,-0.31,6.36,0.3500,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,10,0,0,0,0,0,0,0,4,5,1,200
690.0000000000001,free,FLYING,6.43,27.91,-0.33,6.43,0.3500,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,7,0,0,0,0,0,0,0,1,4,2,200
705.0000000000001,free,FLYING,6.49,29.43,-0.35,6.49,0.3500,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,10,0,0,0,0,0,0,0,5,2,3,200
720.0000000000001,free,FLYING,6.55,30.95,-0.37,6.55,0.3500,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,9,0,0,0,0,0,0,0,4,5,0,200
735.0,free,FLYING,6.59,32.47,-0.39,6.59,0.3500,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,5,0,0,0,0,0,0,0,3,2,0,200
750.0,free,FLYING,6.63,33.99,-0.41,6.63,0.4000,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,5,0,0,0,0,0,0,0,1,2,1,200
765.0,free,FLYING,6.67,35.51,-0.43,6.67,0.4000,0.0500,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,0,0,0,2,1,0,200
780.0,free,FLYING,6.70,37.04,-0.45,6.70,0.4000,0.0250,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,3,0,0,0,0,0,0,0,2,0,1,200
795.0,free,FLYING,6.73,38.58,-0.47,6.73,0.4000,0.0250,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,2,0,0,0,0,0,0,0,0,2,0,200
